,Price_Ticker,Ticker,Close,High,Low,Open,Volume
0,2018-01-02,AAPL,40.34188461303711,40.3512542876815,39.63930910102925,39.85008389872191,102223600.0
1,2018-01-02,MSFT,79.05035400390625,79.3814555361966,78.63648059701545,79.21590477005142,22483800.0
2,2018-01-02,TSLA,21.368667602539062,21.474000930786133,20.733333587646484,20.799999237060547,65283000.0
3,2018-01-03,AAPL,40.33486557006836,40.87819243452449,40.27163633682215,40.40512384715967,118071600.0
4,2018-01-03,MSFT,79.41828155517578,79.56544097743182,79.06878845273889,79.15156036504732,26061400.0
5,2018-01-03,TSLA,21.149999618530273,21.683332443237305,21.036666870117188,21.399999618530273,67822500.0
6,2018-01-04,AAPL,40.522220611572266,40.62526561027816,40.299739040812426,40.40746530419806,89738400.0
7,2018-01-04,MSFT,80.11727142333984,80.62312314498602,79.62061891943647,79.63901033797488,21912000.0
8,2018-01-04,TSLA,20.974666595458984,21.23666763305664,20.3786678314209,20.857999801635746,149194500.0
9,2018-01-05,AAPL,40.98357772827149,41.07022757766769,40.526904291139054,40.618238978565536,94640000.0
10,2018-01-05,MSFT,81.11056518554688,81.31290584615176,80.41157208989713,80.62311196696939,23407100.0
11,2018-01-05,TSLA,21.10533332824707,21.14933204650879,20.799999237060547,21.107999801635746,68868000.0
12,2018-01-08,AAPL,40.83134078979492,41.12642116433384,40.73297709146542,40.83134078979492,82271200.0
13,2018-01-08,MSFT,81.1933364868164,81.4692568432421,80.56792309360482,81.11975678951006,22113000.0
14,2018-01-08,TSLA,22.42733383178711,22.468000411987305,21.03333282470703,21.066667556762695,147891000.0
15,2018-01-09,AAPL,40.82666015625,40.997619183214475,40.61120411200408,40.8781826422092,86336000.0
16,2018-01-09,MSFT,81.13814544677734,81.60720718940996,80.80704386573612,81.5336275009685,19484300.0
17,2018-01-09,TSLA,22.246000289916992,22.586666107177734,21.82666778564453,22.3439998626709,107199000.0
18,2018-01-10,AAPL,40.81729888916016,40.81964309485793,40.515192953344034,40.55266450966543,95839600.0
19,2018-01-10,MSFT,80.770263671875,81.11056450886657,80.39318000321322,80.80705352049134,18652200.0
20,2018-01-10,TSLA,22.31999969482422,22.46666717529297,22.0,22.14666748046875,64648500.0
