Price_Ticker,Ticker,Close,High,Low,Open,Volume,MA_30,MA_100,MA_1000,Range,Daily_Return
2018-01-02,AAPL,40.34188461303711,40.3512542876815,39.63930910102925,39.85008389872191,102223600.0,,,,0.711945186652251,
2018-01-03,AAPL,40.33486557006836,40.87819243452449,40.27163633682215,40.40512384715967,118071600.0,,,,0.6065560977023452,-0.00017398897042308903
2018-01-04,AAPL,40.522220611572266,40.62526561027816,40.299739040812426,40.40746530419806,89738400.0,,,,0.32552656946573677,0.004644989858177073
2018-01-05,AAPL,40.98357772827149,41.07022757766769,40.526904291139054,40.618238978565536,94640000.0,,,,0.5433232865286328,0.01138528712731679
2018-01-08,AAPL,40.83134078979492,41.12642116433384,40.73297709146542,40.83134078979492,82271200.0,,,,0.3934440728684194,-0.0037145839117787016
2018-01-09,AAPL,40.82666015625,40.997619183214475,40.61120411200408,40.8781826422092,86336000.0,,,,0.38641507121039353,-0.00011463335404582331
2018-01-10,AAPL,40.81729888916016,40.81964309485793,40.515192953344034,40.55266450966543,95839600.0,,,,0.3044501415138967,-0.0002292929927162346
2018-01-11,AAPL,41.04915237426758,41.09833424132138,40.864142361699365,40.88755940557088,74670800.0,,,,0.23419187962201704,0.0056802750651632206
2018-01-12,AAPL,41.47303009033203,41.53626288466178,41.1357932852183,41.25991466856103,101672400.0,,,,0.4004695994434826,0.010326101552590616
2018-01-16,AAPL,41.26227188110352,42.011685254549505,41.25056157127931,41.6627380333034,118263600.0,,,,0.761123683270192,-0.005081813621272913
2018-01-17,AAPL,41.94375991821289,41.97888726477312,40.99996709013325,41.25289113233468,137547200.0,,,,0.9789201746398746,0.01651600859674085
2018-01-18,AAPL,41.981224060058594,42.17794790326898,41.74469161004063,42.00698530300974,124773600.0,,,,0.4332562932283466,0.0008931994155687573
2018-01-19,AAPL,41.793888092041016,42.05618187681274,41.547985882075125,41.82901544768551,129700400.0,,,,0.508195994737612,-0.004462375078667868
2018-01-22,AAPL,41.45196914672851,41.634638555394616,41.35829380968925,41.52222743625049,108434400.0,,,,0.2763447457053658,-0.008181075294060092
2018-01-23,AAPL,41.46132278442383,42.023385358113266,41.409803865982504,41.5222149513268,130756400.0,,,,0.6135814921307627,0.00022565002068319906
2018-01-24,AAPL,40.80091094970703,41.52222239244202,40.5620342237433,41.51051208336333,204420400.0,,,,0.9601881686987213,-0.015928383137956748
2018-01-25,AAPL,40.072566986083984,40.97186281875041,39.93673528633479,40.86881783456247,166116000.0,,,,1.035127532415622,-0.017851169169257886
2018-01-26,AAPL,40.16624450683594,40.2809998043608,39.82666702550764,40.2809998043608,156572000.0,,,,0.45433277885316414,0.002337697028106156
2018-01-29,AAPL,39.33486557006836,39.85008693678984,39.126434961888506,39.85008693678984,202561600.0,,,,0.7236519749013368,-0.02069844833579315
2018-01-30,AAPL,39.103004455566406,39.19667974455292,38.57138807818574,38.76576769764181,184192800.0,,,,0.6252916663671755,-0.005894544474517982
2018-01-31,AAPL,39.21075439453125,39.447290538522424,38.99295760785047,39.07960748124148,129915600.0,,,,0.4543329306719528,0.0027555411781026162
2018-02-01,AAPL,39.29270935058594,39.48942965217391,39.05383265666675,39.149852175352834,188923200.0,,,,0.43559699550716147,0.002090114238304963
2018-02-02,AAPL,37.5877799987793,39.063188900343846,37.49410471789513,38.875834765092605,346375200.0,,,,1.5690841824487194,-0.04339047573926624
2018-02-05,AAPL,36.648677825927734,38.3793551679824,36.53392255197071,37.25991859617889,290954000.0,,,,1.845432616011692,-0.024984241497690518
2018-02-06,AAPL,38.180301666259766,38.34189463418348,36.06554928926782,36.2599289772424,272975200.0,,,,2.2763453449156614,0.041792062666131446
2018-02-07,AAPL,37.36297225952149,38.26695309063286,37.25290535970743,38.194354177070885,206434400.0,,,,1.0140477309254337,-0.021407096619683208
2018-02-08,AAPL,36.33486557006836,37.70488937746302,36.30676369044482,37.53861158489397,217562000.0,,,,1.3981256870182008,-0.02751672651500925
2018-02-09,AAPL,36.779300689697266,37.12731684344801,35.32844580447681,36.934498391741066,282690400.0,,,,1.7988710389711997,0.012231643427216055
2018-02-12,AAPL,38.260711669921875,38.53818298500872,37.03794626199481,37.270742729099624,243278000.0,,,,1.5002367230139058,0.04027838899719982
